Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
regulation of behavior (GO:0050795)	2/166	0.21078582478860003	0.3838712569966555	-0.45970905287635244	0.44014753663329775	LPAR1;PTGDS
response to wounding (GO:0009611)	2/167	0.21265159620150012	0.3838712569966555	-0.4393962937172242	0.42069912496906087	DST;APOD
heart development (GO:0007507)	2/167	0.21265159620150012	0.3838712569966555	-0.43124513312064516	0.41289481214372337	GAB1;ADIPOR2
monocarboxylic acid biosynthetic process (GO:0072330)	2/167	0.21265159620150012	0.3838712569966555	-0.4230980974722128	0.4050944487419488	PLP1;PTGDS
endocytosis (GO:0006897)	3/323	0.23094081628644994	0.39572826326245875	-0.4259398762029117	0.3948579816347127	RAB31;ENPP2;BCL2L1
regulation of cell growth (GO:0001558)	3/322	0.22959353877063576	0.3939279321542691	-0.42059374945417166	0.39181979533687433	SGK1;ADIPOR2;CRYAB
regulation of calcium ion transport (GO:0051924)	2/171	0.22013104121780222	0.38668521526090127	-0.4120837928920156	0.3915390727895168	FKBP1A;CACNB4
protein dephosphorylation (GO:0006470)	2/161	0.20148477261460335	0.3747503894008309	-0.3952668504240618	0.3879524780319093	PTPRD;DUSP3
ATP catabolic process (GO:0006200)	3/327	0.23634512341972921	0.39756352554314306	-0.41029545204584894	0.3784567485655103	MYO1D;ABCA2;ABCG1
regulation of transmembrane transport (GO:0034762)	3/327	0.23634512341972921	0.39756352554314306	-0.40994112221562085	0.37812991453700906	FKBP1A;CACNB4;KCNA1
apoptotic signaling pathway (GO:0097190)	3/327	0.23634512341972921	0.39756352554314306	-0.40897645831377094	0.3772401080282305	IL33;RNF7;BCL2L1
intrinsic apoptotic signaling pathway (GO:0097193)	2/170	0.2182588539809263	0.38492398152280227	-0.37780336095794037	0.3606924256422276	RNF7;BCL2L1
regulation of stress-activated MAPK cascade (GO:0032872)	2/170	0.2182588539809263	0.38492398152280227	-0.37488869921148393	0.3579097706319853	DUSP3;GAB1
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	2/171	0.22013104121780222	0.38668521526090127	-0.3725564394045971	0.3539823826181495	DUSP3;GAB1
establishment of organelle localization (GO:0051656)	2/168	0.21451906780891802	0.38492398152280227	-0.3661598806437512	0.3495762853654608	CDC42BPA;FGFR2
organic anion transport (GO:0015711)	3/328	0.2376998789768491	0.39756352554314306	-0.37297632670828684	0.34403356701636595	CACNB4;ATP8A1;ABCG1
ribonucleoside monophosphate catabolic process (GO:0009158)	3/332	0.24313289869173627	0.40309674090215447	-0.37172288604076514	0.33773949432024425	MYO1D;ABCA2;ABCG1
purine nucleoside monophosphate catabolic process (GO:0009128)	3/333	0.24449453428540116	0.40449015252427273	-0.3716015483739456	0.33634692450493225	MYO1D;ABCA2;ABCG1
purine ribonucleoside monophosphate catabolic process (GO:0009169)	3/332	0.24313289869173627	0.40309674090215447	-0.3692377673251823	0.33548156840326243	MYO1D;ABCA2;ABCG1
nucleoside monophosphate catabolic process (GO:0009125)	3/335	0.24722169716394612	0.40682826993026083	-0.3674492170408858	0.3304706431194862	MYO1D;ABCA2;ABCG1
MAPK cascade (GO:0000165)	2/170	0.2182588539809263	0.38492398152280227	-0.3425013873339239	0.3269892990630493	DUSP3;CRYAB
regulation of nucleocytoplasmic transport (GO:0046822)	2/178	0.23327338335916736	0.3965316209310931	-0.34677951402459456	0.3207708739431254	APOD;LITAF
spermatogenesis (GO:0007283)	3/353	0.2719705394480192	0.43151359186017857	-0.3743312424944375	0.3146090397582418	CLDN11;PLEKHA1;BCL2L1
male gamete generation (GO:0048232)	3/354	0.27335475326262704	0.4321608480152008	-0.3720977605399252	0.3121741796516405	CLDN11;PLEKHA1;BCL2L1
anion transmembrane transport (GO:0098656)	2/172	0.2220046739649974	0.38741420108477864	-0.3097682850635896	0.29374114388324246	SLC12A2;TTYH2
regulation of apoptotic signaling pathway (GO:2001233)	3/356	0.27612564420236224	0.4329337136962657	-0.3057589310790426	0.2559724027232283	MAL;SEPT4;BCL2L1
regulation of neuron apoptotic process (GO:0043523)	2/188	0.2521303687978057	0.41156346201775745	-0.2880927272631376	0.2557664328033136	NRBP2;BCL2L1
negative regulation of cytokine production (GO:0001818)	2/185	0.24646591822791342	0.406087766013237	-0.268042928191981	0.24155652632364583	IL33;APOD
immune response-activating signal transduction (GO:0002757)	3/440	0.3933762693865316	0.512160476220896	-0.33649998506018264	0.225157952345347	CACNB4;DUSP3;PLEKHA1
positive regulation of cell development (GO:0010720)	3/358	0.2788996745363299	0.4347093297702849	-0.26800313119599906	0.22326742641256342	PTPRD;LPAR1;ASPA
response to drug (GO:0042493)	3/354	0.27335475326262704	0.4321608480152008	-0.2644119064640077	0.22183033262752272	QDPR;ABCA2;APOD
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	2/186	0.24835351494772426	0.40731292415857817	-0.24127109007439843	0.21670330751099395	FKBP1A;LDLRAD4
cell junction organization (GO:0034330)	2/189	0.2540195185631374	0.4128983116913666	-0.21424904930329974	0.1895148396318573	VMP1;DST
negative regulation of neurogenesis (GO:0050768)	2/192	0.25968922589602983	0.4183242878284324	-0.20519344787186877	0.17882574900202247	LPAR1;MBP
axon guidance (GO:0007411)	3/367	0.29141705872678025	0.44431900572808747	-0.21047930748641738	0.17074344378559853	CACNB4;EFNB3;PLXNB3
neuron projection guidance (GO:0097485)	3/367	0.29141705872678025	0.44431900572808747	-0.2079075447980434	0.16865719776333518	CACNB4;EFNB3;PLXNB3
muscle contraction (GO:0006936)	2/195	0.26536123599572553	0.42457797759316085	-0.1922406836793076	0.164684826665628	ALDOA;CRYAB
regulation of protein transport (GO:0051223)	3/379	0.30817386750705555	0.45679382660285234	-0.20567493875578566	0.16115107284060212	IL33;APOD;LITAF
positive regulation of cell projection organization (GO:0031346)	2/195	0.26536123599572553	0.42457797759316085	-0.18258453855448772	0.1564127972715176	PTPRD;LPAR1
protein oligomerization (GO:0051259)	3/366	0.29002375347536813	0.44352120535087897	-0.1881334832480018	0.15295434014033418	KCNA1;ALDOA;CRYAB
positive regulation of response to external stimulus (GO:0032103)	2/201	0.2767067627809801	0.43333323227964804	-0.18289298426000702	0.15294393937838316	IL33;LPAR1
learning or memory (GO:0007611)	2/198	0.27103418851777544	0.43151359186017857	-0.17718400441711699	0.14891540743094023	SLC24A2;SGK1
positive regulation of MAP kinase activity (GO:0043406)	2/197	0.2691431819571599	0.42907820604934976	-0.1695884652192123	0.14349152709671636	LPAR1;GAB1
cellular modified amino acid metabolic process (GO:0006575)	2/199	0.27292515272118484	0.4321608480152008	-0.1697672969814528	0.14242753460800525	PLA2G16;GATM
response to steroid hormone (GO:0048545)	3/369	0.2942053026554156	0.4460098652127762	-0.17416011857119995	0.14061935418315943	ABCA2;PTGDS;CRYAB
carboxylic acid catabolic process (GO:0046395)	2/200	0.27481602663437144	0.4324900995005031	-0.16352127770488997	0.13706285541059957	QDPR;ASPA
organic acid catabolic process (GO:0016054)	2/200	0.27481602663437144	0.4324900995005031	-0.1610180124830013	0.13496462890468075	QDPR;ASPA
generation of precursor metabolites and energy (GO:0006091)	3/375	0.302581621395384	0.454043382161661	-0.16697911795079343	0.1318404548403825	BPGM;ALDOA;PRKACB
gamete generation (GO:0007276)	3/390	0.3235742634317089	0.46611888959540176	-0.16949258334195008	0.12937615489876844	CLDN11;PLEKHA1;BCL2L1
Golgi vesicle transport (GO:0048193)	2/202	0.2785973141652241	0.4347093297702849	-0.13634939379134037	0.11358963646750178	RAB31;FTH1
Fc-epsilon receptor signaling pathway (GO:0038095)	2/295	0.44847218759376395	0.5424144491115834	-0.17027433261733493	0.10416104968771639	GAB1;FGFR2
signal transduction by phosphorylation (GO:0023014)	2/202	0.2785973141652241	0.4347093297702849	-0.12050431868112534	0.10038945807636107	DUSP3;CRYAB
negative regulation of response to external stimulus (GO:0032102)	2/215	0.303137122778731	0.4543635429459986	-0.10968565239660681	0.08652636554809989	NRBP2;APOD
platelet activation (GO:0030168)	2/205	0.2842673967441996	0.4394727623705437	-0.10422600586299205	0.08569248933820584	ALDOA;GNAI1
regulation of intracellular protein transport (GO:0033157)	2/219	0.3106650965163992	0.45896752526442075	-0.10268734964179947	0.07997042517583765	APOD;LITAF
regulation of mitotic cell cycle (GO:0007346)	3/391	0.32497526175414776	0.46611888959540176	-0.07890402160958025	0.06022858770936104	DUSP3;FGFR2;BCL2L1
positive regulation of neuron differentiation (GO:0045666)	2/217	0.306902859947322	0.45679382660285234	-0.07249409583509148	0.056800801250297135	PTPRD;LPAR1
regulation of protein ubiquitination (GO:0031396)	2/212	0.29748265711352295	0.45046404634750115	-0.06713728834289664	0.05354044419870587	FKBP1A;SEPT4
regulation of neuron death (GO:1901214)	2/225	0.32192769348570033	0.4651642491409772	-0.060343540440297674	0.04618481643835682	NRBP2;BCL2L1
negative regulation of mitotic cell cycle (GO:0045930)	2/219	0.3106650965163992	0.45896752526442075	-0.04839985359805775	0.037692635793858696	FGFR2;BCL2L1
small molecule biosynthetic process (GO:0044283)	3/394	0.32917865303772326	0.46737229277908454	-0.04508928962826207	0.034296227507363705	GATM;PLP1;PTGDS
activation of immune response (GO:0002253)	3/487	0.45740198356897327	0.5491609912801567	-0.03188869591204274	0.019112924724993093	CACNB4;DUSP3;PLEKHA1
cellular process involved in reproduction in multicellular organism (GO:0022412)	2/228	0.3275435698941856	0.46721574738934313	-0.019066153415589673	0.01450865907802168	SEPT4;BCL2L1
neuron differentiation (GO:0030182)	2/222	0.3163012022567865	0.4610845187673024	-0.01565839885072485	0.012122323939328165	PTPRD;NRBP2
negative regulation of growth (GO:0045926)	2/221	0.3144235182981881	0.4600729841831252	-0.012050739145910505	0.009355834047655866	ADIPOR2;CRYAB
cellular response to abiotic stimulus (GO:0071214)	2/232	0.3350132236422379	0.47171340347036694	0.014390193020488934	-0.01081255609917596	CRYAB;BCL2L1
response to lipopolysaccharide (GO:0032496)	2/228	0.3275435698941856	0.46721574738934313	0.015351860794637419	-0.011682215580019376	CNP;LITAF
cognition (GO:0050890)	2/227	0.3256728509547661	0.46611888959540176	0.01899106962448591	-0.014496159755107528	SLC24A2;SGK1
regulation of neuron differentiation (GO:0045664)	3/405	0.3445891327301184	0.4783737545793122	0.02092105555889381	-0.015426411007189772	PTPRD;LPAR1;MBP
regulation of peptide transport (GO:0090087)	2/231	0.33314786293841897	0.4706599595555536	0.029822102920445893	-0.022474515307696428	PRKACB;LITAF
secretion by cell (GO:0032940)	3/415	0.3585811012178925	0.4881084191008816	0.03989761886878666	-0.02861527953838908	RAB31;LGI3;ALDOA
immune response-activating cell surface receptor signaling pathway (GO:0002429)	2/324	0.4971145700537805	0.5725656106083439	0.05191520051170299	-0.028949366650234374	CACNB4;PLEKHA1
glycerophospholipid metabolic process (GO:0006650)	2/229	0.3294130015370656	0.46737229277908454	0.042209054502956464	-0.03210543674648498	PLA2G16;ENPP2
response to hypoxia (GO:0001666)	2/241	0.3517333716932677	0.4855529289071305	0.047484075837347844	-0.034305676764630914	CRYAB;NDRG1
regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/228	0.3275435698941856	0.46721574738934313	0.047907059676186456	-0.036455554569486404	FKBP1A;SEPT4
regulation of protein complex assembly (GO:0043254)	2/244	0.35727702198732864	0.4881084191008816	0.05703805435537918	-0.04090870372672548	GSN;LDLRAD4
response to decreased oxygen levels (GO:0036293)	2/245	0.359121335553564	0.4881084191008816	0.06387970477734407	-0.04581565669482919	CRYAB;NDRG1
angiogenesis (GO:0001525)	2/236	0.34246007816096263	0.4771989573420527	0.06476417919223446	-0.04791394992289443	APOD;FGFR2
muscle system process (GO:0003012)	2/237	0.3443179795069201	0.4783737545793122	0.06984121692881695	-0.05149832495560742	ALDOA;CRYAB
response to molecule of bacterial origin (GO:0002237)	2/243	0.35543090365675395	0.4881084191008816	0.08165834235501016	-0.05856681073662163	CNP;LITAF
detection of chemical stimulus (GO:0009593)	1/499	0.9255747409850542	0.9255747409850543	0.9018245674059008	-0.06974746629521222	ABCG1
regulation of protein serine/threonine kinase activity (GO:0071900)	3/416	0.3599786857908063	0.4883061233199088	0.10207498896579185	-0.07316865537551484	DUSP3;LPAR1;GAB1
positive regulation of GTPase activity (GO:0043547)	1/482	0.9185767157340751	0.9196982981413259	0.8761214305959547	-0.07333977409044841	DOCK10
positive regulation of GTP catabolic process (GO:0033126)	1/483	0.919005754242123	0.9196982981413259	0.8772272240551452	-0.0734323396180746	DOCK10
regulation of lipid metabolic process (GO:0019216)	2/245	0.359121335553564	0.4881084191008816	0.10452067505957421	-0.07496408104471435	APOD;ABCG1
regulation of inflammatory response (GO:0050727)	2/247	0.36280443126366974	0.4906357278188935	0.11320123468169653	-0.08060531555672237	IL33;APOD
Fc receptor signaling pathway (GO:0038093)	2/352	0.541477586562091	0.6079998091621212	0.1663465263337197	-0.08277082282789797	GAB1;FGFR2
regulation of metal ion transport (GO:0010959)	2/250	0.3683148162188698	0.4943315788415943	0.11969671455597329	-0.0843321735791922	FKBP1A;CACNB4
response to other organism (GO:0051707)	1/462	0.9095095410986295	0.9115688079841358	0.9441313366145161	-0.08741542005314427	BCL2L1
negative regulation of cell cycle process (GO:0010948)	2/254	0.37563421034956224	0.5004403256098439	0.15787258772303683	-0.10928996956384622	FGFR2;BCL2L1
mRNA processing (GO:0006397)	1/397	0.8725991052956379	0.8765594643211854	0.8860503842198534	-0.11673778848196106	MBNL2
proteolysis involved in cellular protein catabolic process (GO:0051603)	1/391	0.8685224605475532	0.8731247748729377	0.868282195155161	-0.11780575564995861	USP54
regulation of epithelial cell proliferation (GO:0050678)	2/258	0.3829202766404763	0.5049832446658913	0.17436399347454573	-0.11913071634199333	PLXNB3;FGFR2
mitotic cell cycle (GO:0000278)	1/404	0.8771978199457716	0.8798479644169068	0.9319231638356994	-0.11929190016032135	TUBB4A
embryonic morphogenesis (GO:0048598)	1/403	0.8765510263731315	0.8798479644169068	0.9630789793085098	-0.1232800362782161	FGFR2
positive regulation of protein serine/threonine kinase activity (GO:0071902)	2/257	0.3811019755895	0.5043884188663159	0.184796753547409	-0.12647649391663504	LPAR1;GAB1
epithelium development (GO:0060429)	2/256	0.37928151382911207	0.5036858503650609	0.1851450474417509	-0.12697293973423862	GAB1;FGFR2
modification-dependent macromolecule catabolic process (GO:0043632)	1/368	0.8516684721374216	0.8581302966604673	0.862427681275275	-0.13195085750709434	USP54
carbohydrate derivative biosynthetic process (GO:1901137)	1/377	0.8585032352682473	0.8637062851789641	0.9007894300620002	-0.1319859333932815	ALDOA
taxis (GO:0042330)	2/263	0.39197850087985847	0.5108414614018175	0.20041558124331435	-0.1346183419693186	PLXNB3;ENPP2
modification-dependent protein catabolic process (GO:0019941)	1/364	0.8485272402955133	0.8556144078302519	0.8643761989334384	-0.1347869023282029	USP54
chemotaxis (GO:0006935)	2/263	0.39197850087985847	0.5108414614018175	0.20296611045376048	-0.13633152220872188	PLXNB3;ENPP2
regulation of peptidase activity (GO:0052547)	1/372	0.8547454354059185	0.8605776635474297	0.9095312174264204	-0.1365673978515848	CRYAB
regulation of membrane potential (GO:0042391)	2/266	0.3973859426793627	0.5153483072867996	0.20968131075093938	-0.13900031622241518	CACNB4;BCL2L1
ubiquitin-dependent protein catabolic process (GO:0006511)	1/355	0.8412175886037179	0.8488882657034478	0.8647137689597313	-0.14166407508427017	USP54
regulation of endopeptidase activity (GO:0052548)	1/354	0.8403842349077517	0.8486922159372581	0.9072776579629404	-0.14884677840366065	CRYAB
regulation of Ras GTPase activity (GO:0032318)	1/349	0.8361523214218451	0.8457047089476087	0.892231616681989	-0.14952465698713768	DOCK10
response to alcohol (GO:0097305)	2/274	0.4116996134298632	0.522407832714417	0.2326575798493298	-0.15106612712867448	GSN;CRYAB
cellular component disassembly (GO:0022411)	1/350	0.837007464093043	0.8459253518383267	0.9195353976996861	-0.1538604878878046	GSN
response to acid chemical (GO:0001101)	2/275	0.41347757353837145	0.5224531090951069	0.2412308957426924	-0.15661193239337814	GSN;BCL2L1
positive regulation of defense response (GO:0031349)	2/272	0.4081360677947675	0.5216599596067867	0.24241927984188455	-0.1577517577415988	IL33;DUSP3
regulation of lymphocyte activation (GO:0051249)	1/344	0.8318097837484536	0.8419538055014835	0.9358966795007829	-0.1610024265703968	DUSP3
regulation of sequence-specific DNA binding transcription factor activity (GO:0051090)	1/338	0.8264486959187628	0.8371654219527971	0.9538198131481794	-0.16952582082344872	SGK1
RNA splicing (GO:0008380)	1/313	0.8022371470256345	0.8163761925287684	0.8516151854499354	-0.1727756973397018	MBNL2
positive regulation of protein kinase activity (GO:0045860)	3/456	0.4154215720901506	0.5227304419969241	0.2681650112541933	-0.17395578819929655	LPAR1;GAB1;PRKACB
negative regulation of protein maturation (GO:1903318)	1/316	0.8053098170740308	0.8169988060155179	0.8795042589965633	-0.17776333007827824	CRYAB
negative regulation of protein processing (GO:0010955)	1/316	0.8053098170740308	0.8169988060155179	0.8820203826280727	-0.17827188306258793	CRYAB
positive regulation of cytokine production (GO:0001819)	1/327	0.8161787177706921	0.8273933871751747	0.9443070971491017	-0.17892260355155298	IL33
negative regulation of proteolysis (GO:0045861)	1/302	0.7905559540318874	0.807583313041805	0.8636567652417431	-0.1845712712839287	CRYAB
cellular response to lipid (GO:0071396)	1/315	0.8042908621207835	0.8169988060155179	0.9172267366044711	-0.1853877084366452	LITAF
regulation of homeostatic process (GO:0032844)	1/314	0.8032666477086982	0.8167979388645874	0.9262169815734647	-0.18743254308891616	FKBP1A
epithelial cell differentiation (GO:0030855)	1/303	0.7916454093087419	0.8079389693009043	0.8899178448611669	-0.18979167203365718	FGFR2
regulation of vesicle-mediated transport (GO:0060627)	1/306	0.794880349724681	0.8095100494128653	0.9073864401657227	-0.19175442996722886	LGI3
positive regulation of locomotion (GO:0040017)	1/304	0.7927292748487035	0.8079389693009043	0.9078176445674753	-0.19360914005606528	LPAR1
positive regulation of Ras GTPase activity (GO:0032320)	1/292	0.7793476410748469	0.7973602984186415	0.8678873645730252	-0.19653190822953204	DOCK10
positive regulation of cellular component movement (GO:0051272)	1/296	0.7839002360514566	0.801400703215038	0.9016965925131163	-0.1996303987153099	LPAR1
lymphocyte activation (GO:0046649)	1/304	0.7927292748487035	0.8079389693009043	0.9428052945847255	-0.20107091266310664	FKBP1A
multicellular organismal reproductive process (GO:0048609)	3/491	0.46273429912838504	0.5491609912801567	0.3360995248107626	-0.20144583320474055	CLDN11;PLEKHA1;BCL2L1
phospholipid metabolic process (GO:0006644)	2/288	0.43635024723964705	0.5366313326684504	0.32424309911858024	-0.20182315589034602	PLA2G16;ENPP2
coagulation (GO:0050817)	3/472	0.4372252273699272	0.5366313326684504	0.3342445655025113	-0.20804850814802958	ALDOA;PRKACB;GNAI1
blood coagulation (GO:0007596)	3/472	0.4372252273699272	0.5366313326684504	0.3367213686722898	-0.20959017930033097	ALDOA;PRKACB;GNAI1
positive regulation of cell motility (GO:2000147)	1/287	0.7735236837528746	0.7920119136652409	0.9060882399548407	-0.21128060905618617	LPAR1
cell cycle phase transition (GO:0044770)	1/280	0.7651146573787969	0.7840063773140759	0.8768739659289683	-0.21337686614790402	TUBB4A
hemostasis (GO:0007599)	3/478	0.44532888225293826	0.5405929662640635	0.3511963375376809	-0.21601688332006724	ALDOA;PRKACB;GNAI1
mitotic cell cycle phase transition (GO:0044772)	1/277	0.7614172052845256	0.7814235306165765	0.8779696490472538	-0.2165406637336739	TUBB4A
protein localization to membrane (GO:0072657)	1/276	0.7601720101941055	0.7807489787608447	0.8842107781775106	-0.21884357423951234	RAB31
positive regulation of cell migration (GO:0030335)	1/280	0.7651146573787969	0.7840063773140759	0.9043853306457168	-0.22007143003599117	LPAR1
positive regulation of kinase activity (GO:0033674)	3/480	0.4480205422252344	0.5424144491115834	0.37210851823893426	-0.2276280474087275	LPAR1;GAB1;PRKACB
positive regulation of secretion (GO:0051047)	1/273	0.7563978384602749	0.7774739392223259	0.9082346261037147	-0.2286073365910748	IL33
positive regulation of cell activation (GO:0050867)	1/272	0.7551268100742138	0.776768709355969	0.9097787279068054	-0.2298216101698183	IL33
regulation of cytokine production (GO:0001817)	3/482	0.45070727500769386	0.5435129320140544	0.3806471788778454	-0.23208126203793186	IL33;APOD;LITAF
multicellular organismal development (GO:0007275)	2/453	0.6785887805204225	0.7203564352766756	0.7084908100480994	-0.2323914616368832	PLEKHB1;EDIL3
regulation of cell cycle process (GO:0010564)	3/481	0.4493645299603936	0.5429991772405849	0.381424344838466	-0.23291581279690696	NDRG1;FGFR2;BCL2L1
cofactor metabolic process (GO:0051186)	1/255	0.7324910435783114	0.7587738735350994	0.8481699120510885	-0.2341385534120731	QDPR
nitrogen compound transport (GO:0071705)	2/464	0.6913519042253958	0.7292417226460093	0.741697827540432	-0.23419110447415717	SLC12A2;CACNB4
regulation of protein catabolic process (GO:0042176)	1/260	0.7393547033697836	0.7629083497086812	0.8675964476135184	-0.23478667169395126	IL33
single-organism cellular localization (GO:1902580)	2/496	0.726161299927868	0.754571366435218	0.83471761507409	-0.23506100250986062	RAB31;MAL
regulation of immune effector process (GO:0002697)	1/264	0.7447203182194431	0.7666578159654422	0.8948278947630015	-0.2377689347291553	IL33
regulation of actin filament-based process (GO:0032970)	1/257	0.7352576402320208	0.7604533849128688	0.8740379775316467	-0.2393469657373851	GSN
lipid biosynthetic process (GO:0008610)	3/491	0.46273429912838504	0.5491609912801567	0.39990409862517284	-0.23968797455127797	PLA2G16;PLP1;PTGDS
regulation of small GTPase mediated signal transduction (GO:0051056)	1/256	0.7338778877920233	0.759617954004526	0.8766196823473907	-0.2410175210896543	LPAR1
regulation of T cell activation (GO:0050863)	1/259	0.737996012534472	0.762098526163125	0.8873479642229154	-0.2410741911081037	DUSP3
sensory perception (GO:0007600)	2/457	0.6832779570578384	0.7230224119305254	0.7439938688607688	-0.24128841531379755	SLC24A2;GJC3
regulation of cell cycle phase transition (GO:1901987)	1/264	0.7447203182194431	0.7666578159654422	0.9083391416081013	-0.24135907176894092	BCL2L1
single organism cell adhesion (GO:0098602)	1/259	0.737996012534472	0.762098526163125	0.8997759269895318	-0.24445061297627968	VMP1
positive regulation of leukocyte activation (GO:0002696)	1/262	0.7420512706472344	0.7650963411642292	0.9130296976027704	-0.24446691258783107	IL33
regulation of innate immune response (GO:0045088)	1/254	0.7310970715702269	0.7579210859057465	0.8907595904945232	-0.24689718654650136	DUSP3
actin cytoskeleton organization (GO:0030036)	1/253	0.7296959356682075	0.7570595332557652	0.8890522159274756	-0.2474351316299817	CDC42BPA
response to virus (GO:0009615)	1/250	0.7254491807902607	0.7544217009314534	0.8785927110245968	-0.24759074903350056	BCL2L1
small GTPase mediated signal transduction (GO:0007264)	2/439	0.6617401303871447	0.7047240522486994	0.7079557223435301	-0.24774837445417294	DOCK10;RAB31
regionalization (GO:0003002)	1/247	0.7211366331390235	0.7505246464017424	0.8641196673122628	-0.2479874716989151	HHIP
actin filament-based process (GO:0030029)	2/303	0.4621502852451865	0.5491609912801567	0.4203883995351237	-0.2519655196229202	GSN;CDC42BPA
regulation of mitotic cell cycle phase transition (GO:1901990)	1/251	0.7268720268405539	0.7547193523410911	0.8968466116492311	-0.25238099296816807	BCL2L1
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	1/230	0.6954067405365731	0.7300396454012404	0.8026321030904126	-0.25255335821811825	ENPP2
positive regulation of secretion by cell (GO:1903532)	1/247	0.7211366331390235	0.7505246464017424	0.8854144779875325	-0.2540987158464909	IL33
organophosphate biosynthetic process (GO:0090407)	2/436	0.658040715502172	0.7025149771357786	0.7197341245222794	-0.25412988434029327	PLA2G16;ALDOA
cellular response to cytokine stimulus (GO:0071345)	2/471	0.69925898672534	0.7323469513968861	0.8174188546644249	-0.2546267089003952	GAB1;ADIPOR2
regulation of synaptic transmission (GO:0050804)	1/245	0.7182245542148633	0.7486673532161212	0.8869430345790973	-0.25673498785117255	SLC24A2
regulation of actin cytoskeleton organization (GO:0032956)	1/240	0.7108124879709607	0.7415231610569016	0.8652842330523356	-0.25876228292311443	GSN
positive regulation of protein maturation (GO:1903319)	1/240	0.7108124879709607	0.7415231610569016	0.8766910122704269	-0.2621734675009972	IL33
negative regulation of peptidase activity (GO:0010466)	1/230	0.6954067405365731	0.7300396454012404	0.83359903246119	-0.2622973018956516	CRYAB
antigen processing and presentation (GO:0019882)	1/225	0.6874031063374727	0.7262301712141319	0.8208818328125835	-0.26259047279110265	OSBPL1A
positive regulation of protein processing (GO:0010954)	1/240	0.7108124879709607	0.7415231610569016	0.8815965349164019	-0.2636404585662634	IL33
regulation of anatomical structure size (GO:0090066)	1/232	0.6985512970344901	0.7321832063629068	0.8484416608346349	-0.26448006473701857	GSN
negative regulation of endopeptidase activity (GO:0010951)	1/222	0.6825017328921639	0.7227769547693729	0.8154645566284301	-0.2647443227462351	CRYAB
positive regulation of protein transport (GO:0051222)	1/231	0.6969830419500885	0.7311164926617043	0.8551351848037603	-0.26781335042333726	IL33
regulation of hormone levels (GO:0010817)	1/229	0.6938223520606249	0.7300396454012404	0.8573444777505036	-0.26976895911831966	PLEKHA1
mesenchymal cell proliferation (GO:0010463)	1/13	0.06900250460533063	0.3267591077106402	0.2425461737529932	-0.2712956697310236	FGFR2
organic acid transport (GO:0015849)	1/226	0.6890202541762658	0.7273600139476002	0.8526044341685158	-0.27141274048608816	CACNB4
positive regulation of proteolysis (GO:0045862)	1/228	0.6922298356367598	0.7295882712108072	0.8643497533560145	-0.27250779587902196	IL33
establishment of protein localization to membrane (GO:0090150)	1/229	0.6938223520606249	0.7300396454012404	0.8678917653204322	-0.27308773105084183	RAB31
carboxylic acid transport (GO:0046942)	1/224	0.6857776648318574	0.7250897602680786	0.8511662777126007	-0.2736157622747786	CACNB4
protein maturation (GO:0051604)	1/222	0.6825017328921639	0.7227769547693729	0.8491218298981623	-0.275671311472908	FKBP1A
regulation of cell division (GO:0051302)	1/234	0.701663830000304	0.7342864982193883	0.8926060596843153	-0.2756867389326278	FGFR2
single organismal cell-cell adhesion (GO:0016337)	1/235	0.7032081882652141	0.7353232078867752	0.8969528708284213	-0.2757637989760131	VMP1
regulation of cell activation (GO:0050865)	2/420	0.6377749020183602	0.6863574310213795	0.7334605521031179	-0.27604282999062263	IL33;DUSP3
regulation of hormone secretion (GO:0046883)	1/230	0.6954067405365731	0.7300396454012404	0.877586314065497	-0.27613818322257555	PRKACB
positive regulation of cell cycle process (GO:0090068)	1/220	0.679192120315666	0.7204210349674157	0.8470155868191349	-0.2777528998515414	NDRG1
response to light stimulus (GO:0009416)	2/322	0.4938453679901869	0.5709667100605765	0.4971225762707865	-0.2785996076859259	CACNB4;PLEKHB1
nucleoside phosphate biosynthetic process (GO:1901293)	1/209	0.6603717796999379	0.7038312387171087	0.795691944970298	-0.27946027469522966	ALDOA
nucleotide biosynthetic process (GO:0009165)	1/208	0.6586077910647924	0.7025149771357786	0.7941232838277268	-0.2803958453477873	ALDOA
regulation of binding (GO:0051098)	1/218	0.675848485679917	0.7180214311863438	0.8470133052046905	-0.28057812248211556	FKBP1A
regulation of cytoskeleton organization (GO:0051493)	2/350	0.5383975865469206	0.6059254194358564	0.5630719375644806	-0.282098123320462	GSN;DST
cell projection assembly (GO:0030031)	1/213	0.6673382810598741	0.7101163759996096	0.8286891447315702	-0.2836821820101625	LPAR1
regulation of system process (GO:0044057)	2/371	0.5700393787511298	0.6318967403852256	0.6303023512310041	-0.2893272367688278	WNK1;SGK1
phospholipid biosynthetic process (GO:0008654)	1/206	0.6550526607872802	0.7004105744971885	0.819807084829925	-0.29192394143833467	PLA2G16
regulation of Wnt signaling pathway (GO:0030111)	1/214	0.6690577674029827	0.7113760729472867	0.8585862790065052	-0.29239503784205534	FGFR2
